name,disciplines,plus_options,plans,min_plan,district,street,link,metadata,latitude,longitude,description
Alma Hot Yoga,['Yoga'],False,"['S', 'M', 'L', 'XL']",S,Nijmegen,Gerard Noodtstraat 40,https://urbansportsclub.com//en/venues/alma-hot-yoga,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Alma Hot Yoga', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Nijmegen, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '6511 SX', 'streetAddress': 'Gerard Noodtstraat 40'}, 'telephone': '+44 625234724', 'geo': {'@type': 'GeoCoordinates', 'latitude': '51.8450116', 'longitude': '5.8704779'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_1600x899_t9xowck3a6ihpvlbhmfx_1726488862895293.png?generation=1726488863005370&amp;alt=media'}",51.8450116,5.8704779,
Energia Martial Arts,"['Fitness', 'Free Fight', 'Mixed Martial Arts']",False,"['S', 'M', 'L', 'XL']",S,Nijmegen,Winselingseweg 41,https://urbansportsclub.com//en/venues/energia-martial-arts,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Energia Martial Arts', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Nijmegen, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '6541 AH', 'streetAddress': 'Winselingseweg 41'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '51.8556253', 'longitude': '5.8383422'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_1680x945_ttrsx52kdvzncf55cild_1727780281531066.png?generation=1727780281638228&amp;alt=media'}",51.8556253,5.8383422,
FC Urban Nijmegen,['Football'],False,"['S', 'M', 'L', 'XL']",S,Nijmegen,Fagelstraat,https://urbansportsclub.com//en/venues/fc-urban-nijmegen,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'FC Urban Nijmegen', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Nijmegen, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '6524 CD', 'streetAddress': 'Fagelstraat'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '51.8376099', 'longitude': '5.867894'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_640x360_fbt0uzjyllqzzztwljha_1727865094707164.png?generation=1727865094812372&amp;alt=media'}",51.8376099,5.867894,
Heiki - Nijmegen,['Dance'],False,"['S', 'M', 'L', 'XL']",S,Nijmegen,Molenveldlaan 80,https://urbansportsclub.com//en/venues/nijmegen,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Heiki - Nijmegen', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Nijmegen, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '6523 RM', 'streetAddress': 'Molenveldlaan 80'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '51.8340805', 'longitude': '5.8729286'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_640x360_xta7egiy0catzpzzt0fp_1727940705428171.png?generation=1727940705510861&amp;alt=media'}",51.8340805,5.8729286,
Jumpsquare Nijmegen,['Fitness'],False,"['S', 'M', 'L', 'XL']",S,Nijmegen,Industrieweg 101,https://urbansportsclub.com//en/venues/jumpsquare-nijmegen,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Jumpsquare Nijmegen', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Nijmegen, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '6541 TV', 'streetAddress': 'Industrieweg 101'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '51.8470485', 'longitude': '5.8339747'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_770x433_sliq3moirvqfviqeo4ld_1727437740672258.png?generation=1727437740777521&amp;alt=media'}",51.8470485,5.8339747,
Provectas,"['Bootcamp', 'Boxing Sports', 'Fitness', 'Pilates', 'Yoga']",False,"['S', 'M', 'L', 'XL']",S,Nijmegen,Mercuriusstraat 7,https://urbansportsclub.com//en/venues/provectas,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Provectas', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Nijmegen, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '6541 BM', 'streetAddress': 'Mercuriusstraat 7'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '51.8528192', 'longitude': '5.8374395'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_640x360_tsbjt1n6bv1uypleutvc_1726652787547061.png?generation=1726652787630318&amp;alt=media'}",51.8528192,5.8374395,
SUP SUP CLUB - Kraaijenbergseplassen,['Stand Up Paddling'],False,"['S', 'M', 'L', 'XL']",S,Nijmegen,Den Drul 19,https://urbansportsclub.com//en/venues/sup-sup-club-kraaijenbergseplassen,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'SUP SUP CLUB - Kraaijenbergseplassen', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Nijmegen, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '5439 NR', 'streetAddress': 'Den Drul 19'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '51.7420877', 'longitude': '5.8395626'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_1680x945_pks7bq7omzqrtukbszg6_1729263179493152.png?generation=1729263179585968&amp;alt=media'}",51.7420877,5.8395626,
The Kettlebell Club Nijmegen - Lentse Warande,['Fitness'],False,"['S', 'M', 'L', 'XL']",S,Nijmegen,Lentse Warande,https://urbansportsclub.com//en/venues/the-kettlebell-club-nijmegen-lentse-warande,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'The Kettlebell Club Nijmegen - Lentse Warande', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Nijmegen, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '6663 BC', 'streetAddress': 'Lentse Warande'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '51.8572322', 'longitude': '5.8659589'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_1530x860_zcwbf1ebqgbmf4eo6kia_172675269496926.png?generation=1726752694224508&amp;alt=media'}",51.8572322,5.8659589,
The Kettlebell Club | Bootcamp,"['Fitness', 'Hyrox']",False,"['S', 'M', 'L', 'XL']",S,Nijmegen,Groenestraat 215,https://urbansportsclub.com//en/venues/the-kettlebell-club-bootcamp,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'The Kettlebell Club | Bootcamp', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Nijmegen, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '6531 HH', 'streetAddress': 'Groenestraat 215'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '51.831017', 'longitude': '5.8488573'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_2250x1265_axjnegy50s3nebqkt1yw_1726742459346823.png?generation=1726742459480706&amp;alt=media'}",51.831017,5.8488573,
The Kickboxing Society Nijmegen,['Boxing Sports'],False,"['S', 'M', 'L', 'XL']",S,Nijmegen,Oude Graafseweg 62,https://urbansportsclub.com//en/venues/the-kickboxing-society-nijmegen,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'The Kickboxing Society Nijmegen', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Nijmegen, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '6543 PS', 'streetAddress': 'Oude Graafseweg 62'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '51.8348897', 'longitude': '5.8366123'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_1680x945_eea6mgbkivzrljbz8tjy_1726820146541881.png?generation=1726820146692838&amp;alt=media'}",51.8348897,5.8366123,
