name,disciplines,plus_options,plans,min_plan,district,street,link,metadata,latitude,longitude,description
ADM yoga Antwerp (Atelier Du Mon),"['Dance', 'Pilates', 'Yoga']",False,"['Classic', 'Premium', 'Max']",Classic,Sint-Andries,Happaertstraat 26,https://urbansportsclub.com//en/venues/atelier-du-mon,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'ADM yoga Antwerp (Atelier Du Mon)', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Anvers, Belgium', 'addressCountry': 'Belgium', 'postalCode': '2000', 'streetAddress': 'Happaertstraat 26'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '51.2151346', 'longitude': '4.4014522'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_320x180_slzecuehwg2b4e4hpzen_1740408787170424.png?generation=1740408787216938&amp;alt=media'}",51.2151346,4.4014522,
Force Antwerp,"['Boxing Sports', 'Free Fight', 'Mixed Martial Arts', 'Traditional Asian Martial Arts', 'Yoga']",False,"['Classic', 'Premium', 'Max']",Classic,Eilandje,Joossensgang 8b,https://urbansportsclub.com//en/venues/force-antwerp,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Force Antwerp', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Anvers, Belgium', 'addressCountry': 'Belgium', 'postalCode': '2060', 'streetAddress': 'Joossensgang 8b'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '51.2328043', 'longitude': '4.4221232'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_980x551_ws260zovguooe0blbhqj_1751363240891574.png?generation=1751363240986403&amp;alt=media'}",51.2328043,4.4221232,
Crossfit W - Schoten,"['Bootcamp', 'Crosstraining', 'Hyrox']",False,"['Classic', 'Premium', 'Max']",Classic,Schoten,Geuzenveldenstraat 12b,https://urbansportsclub.com//en/venues/crossfit-w-schoten,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Crossfit W - Schoten', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Anvers, Belgium', 'addressCountry': 'Belgium', 'postalCode': '2900', 'streetAddress': 'Geuzenveldenstraat 12b'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '51.248188', 'longitude': '4.507652'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_734x412_thjc7dpadferzffyhom5_1740738235225499.png?generation=1740738235320519&amp;alt=media'}",51.248188,4.507652,
EDGE ANTWERP,['Fitness'],False,"['Classic', 'Premium', 'Max']",Classic,Sint-Andries,Klapdorp 70A,https://urbansportsclub.com//en/venues/edge-antwerp,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'EDGE ANTWERP', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Anvers, Belgium', 'addressCountry': 'Belgium', 'postalCode': '2000', 'streetAddress': 'Klapdorp 70A'}, 'telephone': '+44 478424630', 'geo': {'@type': 'GeoCoordinates', 'latitude': '51.2249032', 'longitude': '4.4063984'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_1365x767_zogfxlsvnoangldbxhzm_174904712331882.png?generation=1749047123123049&amp;alt=media'}",51.2249032,4.4063984,
Olympic swimming centre Wezenberg,['Swimming'],False,"['Essential', 'Classic', 'Premium', 'Max']",Essential,Berchem,Desguinlei 17,https://urbansportsclub.com//en/venues/olympic-swimming-centre-wezenberg,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Olympic swimming centre Wezenberg', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Antwerp, Belgium', 'addressCountry': 'Belgium', 'postalCode': '2018', 'streetAddress': 'Desguinlei 17'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '51.1932567', 'longitude': '4.4061395'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_730x411_ibajrgeglremkm1x5in3_173762467126821.png?generation=1737624671107349&amp;alt=media'}",51.1932567,4.4061395,
Outdoor swimming pool De Molen,['Swimming'],False,"['Essential', 'Classic', 'Premium', 'Max']",Essential,Antwerp,Wandeldijk 40,https://urbansportsclub.com//en/venues/outdoor-swimming-pool-de-molen,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Outdoor swimming pool De Molen', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Antwerp, Belgium', 'addressCountry': 'Belgium', 'postalCode': '2050', 'streetAddress': 'Wandeldijk 40'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '51.2345877', 'longitude': '4.3934458'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_1304x734_fcjlpxjkafubhstcf0g2_1737705408772390.png?generation=1737705408835446&amp;alt=media'}",51.2345877,4.3934458,
Plantin Moretus swimming pool,['Swimming'],False,"['Essential', 'Classic', 'Premium', 'Max']",Essential,Borgerhout,Plantin en Moretuslei 343,https://urbansportsclub.com//en/venues/plantin-moretus-swimming-pool,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Plantin Moretus swimming pool', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Antwerp, Belgium', 'addressCountry': 'Belgium', 'postalCode': '2140', 'streetAddress': 'Plantin en Moretuslei 343'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '51.2091936', 'longitude': '4.4389529'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_730x411_v4rkqvtvfce76cl7osqg_1738142425819330.png?generation=1738142425913634&amp;alt=media'}",51.2091936,4.4389529,
Swimming pond Boekenberg - Deurne,['Swimming'],False,"['Essential', 'Classic', 'Premium', 'Max']",Essential,Deurne,Van Baurscheitlaan,https://urbansportsclub.com//en/venues/swimming-pond-boekenberg-deurne,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Swimming pond Boekenberg - Deurne', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Antwerp, Belgium', 'addressCountry': 'Belgium', 'postalCode': '2100', 'streetAddress': 'Van Baurscheitlaan'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '51.1972996', 'longitude': '4.4618534'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_730x411_b8blvwx6tljajikklev1_1738141737298190.png?generation=1738141737356507&amp;alt=media'}",51.1972996,4.4618534,
Swimming pool De Schinde,['Swimming'],False,"['Essential', 'Classic', 'Premium', 'Max']",Essential,Ekeren,Oorderseweg 83,https://urbansportsclub.com//en/venues/swimming-pool-de-schinde,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Swimming pool De Schinde', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Antwerp, Belgium', 'addressCountry': 'Belgium', 'postalCode': '2180', 'streetAddress': 'Oorderseweg 83'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '51.2798717', 'longitude': '4.4131524'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_730x411_pwsluxkt3hlmxftsqnze_1738143698641505.png?generation=1738143698687560&amp;alt=media'}",51.2798717,4.4131524,
Swimming pool Groenenhoek,['Swimming'],False,"['Essential', 'Classic', 'Premium', 'Max']",Essential,Berchem,Orpheusplein 1,https://urbansportsclub.com//en/venues/swimming-pool-groenenhoek,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Swimming pool Groenenhoek', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Antwerp, Belgium', 'addressCountry': 'Belgium', 'postalCode': '2600', 'streetAddress': 'Orpheusplein 1'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '51.1986315', 'longitude': '4.4422203'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_711x400_tirjy5st6ggnjmyynhq8_173773064567801.png?generation=1737730645122298&amp;alt=media'}",51.1986315,4.4422203,
