name,disciplines,plus_options,plans,min_plan,district,street,link,metadata,latitude,longitude,description
Clever Fit Heidelberg,['Fitness'],False,"['M', 'L', 'XL']",M,Boxberg,Im Breitspiel 8,https://urbansportsclub.com//en/venues/clever-fit-heidelberg,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Clever Fit Heidelberg', 'description': 'Clever Fit Mannheim - Heidelberg freut sich auf deinen Besuch!', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Heidelberg, Germany', 'addressCountry': 'Germany', 'postalCode': '69126', 'streetAddress': 'Im Breitspiel 8'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '49.363611', 'longitude': '8.6857645'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_1686x948_fitnesscompressed_1568192370382813_admin.jpg?alt=media'}",49.363611,8.6857645,Clever Fit Mannheim - Heidelberg freut sich auf deinen Besuch!
Thermalbad,['Swimming'],False,"['S', 'M', 'L', 'XL']",S,Bergheim,Vangerowstr. 4,https://urbansportsclub.com//en/venues/thermalbad,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Thermalbad', 'description': 'Raus aus dem Alltag – rein ins Vergnügen. In Heidelberg können Sie in fünf Schwimmbädern baden. Ob Sportbad mitten in der Stadt, Freibad mit großem Park und Breitwellenrutsche oder Hallenbad mit Sauna und Aquafitnesskursen – bei uns findet jeder sein persönliches Lieblingsbad. Übrigens: Alle unsere Bäder sind als nachhaltige Betriebe ausgezeichnet.', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Heidelberg, Germany', 'addressCountry': 'Germany', 'postalCode': '69115', 'streetAddress': 'Vangerowstr. 4'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '49.4089187', 'longitude': '8.6810103'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_5760x3240_69f7a4a8ea2c-Thermalbad_IMG_6505_rgb_1664547995186794_admin.jpg?generation=1664547995255935&amp;alt=media'}",49.4089187,8.6810103,"Raus aus dem Alltag – rein ins Vergnügen. In Heidelberg können Sie in fünf Schwimmbädern baden. Ob Sportbad mitten in der Stadt, Freibad mit großem Park und Breitwellenrutsche oder Hallenbad mit Sauna und Aquafitnesskursen – bei uns findet jeder sein persönliches Lieblingsbad. Übrigens: Alle unsere Bäder sind als nachhaltige Betriebe ausgezeichnet."
fitbox Heidelberg Bahnstadt,['EMS'],True,"['L', 'XL']",L,Bahnstadt,Grüne Meile 26,https://urbansportsclub.com//en/venues/fitbox-heidelberg-bahnstadt,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'fitbox Heidelberg Bahnstadt', 'description': 'Du hast genug von Fitnesstrainern und Ernährungsberatern, die Dir in Werbeanzeigen suggerieren, dass Du nur mit ihrem Konzept ganz schnell und einfach Deinen Traumkörper erreichen kannst? Dann kannst Du ab sofort in der fitbox Heidelberg Bahnstadt Deinen Traum wahr werden lassen. Durch die bewährte EMS Technologie erhältst Du ein hocheffektives und intensives Ganzkörper Fitnesstraining in nur kurzen Trainingseinheiten. Der fitbox 3ECK-Ansatz bestehend aus Ernährung, Cardio- und Krafttraining schafft für Dich die besten Voraussetzungen für maximalen Erfolg beim Erreichen Deiner Fitnessziele. Jede EMS Trainingseinheit findet unter der Aufsicht eines lizenzierten EMS Personal Trainers statt, der Dich motiviert und zu Höchstleistungen pusht.', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Heidelberg, Germany', 'addressCountry': 'Germany', 'postalCode': '69115', 'streetAddress': 'Grüne Meile 26'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '49.4038835', 'longitude': '8.6666446'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_4032x2268_075f8f560ce7-IMG_1605_1677075006688245_admin.jpg?generation=1677075006968030&amp;alt=media'}",49.4038835,8.6666446,"Du hast genug von Fitnesstrainern und Ernährungsberatern, die Dir in Werbeanzeigen suggerieren, dass Du nur mit ihrem Konzept ganz schnell und einfach Deinen Traumkörper erreichen kannst? Dann kannst Du ab sofort in der fitbox Heidelberg Bahnstadt Deinen Traum wahr werden lassen. Durch die bewährte EMS Technologie erhältst Du ein hocheffektives und intensives Ganzkörper Fitnesstraining in nur kurzen Trainingseinheiten. Der fitbox 3ECK-Ansatz bestehend aus Ernährung, Cardio- und Krafttraining schafft für Dich die besten Voraussetzungen für maximalen Erfolg beim Erreichen Deiner Fitnessziele. Jede EMS Trainingseinheit findet unter der Aufsicht eines lizenzierten EMS Personal Trainers statt, der Dich motiviert und zu Höchstleistungen pusht."
Multiness Heidelberg,['Fitness'],False,"['M', 'L', 'XL']",M,Ziegelhausen,Im Hofert 28,https://urbansportsclub.com//en/venues/multiness-heidelberg,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Multiness Heidelberg', 'description': 'Multiness Heidelberg freut sich auf deinen Besuch!', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Heidelberg, Germany', 'addressCountry': 'Germany', 'postalCode': '69118', 'streetAddress': 'Im Hofert 28'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '49.4107903', 'longitude': '8.7715259'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_1686x948_fitnesscompressed_156699044789587_admin.jpg?alt=media'}",49.4107903,8.7715259,Multiness Heidelberg freut sich auf deinen Besuch!
Outdoor Athleten - Ernst Walz Brücke,['Fitness'],False,"['M', 'L', 'XL']",M,Neuenheim,Ernst Walz Brücke,https://urbansportsclub.com//en/venues/outdoor-athleten-ernst-walz-brucke,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Outdoor Athleten - Ernst Walz Brücke', 'description': 'Schlanker, fitter und stärker in 8 Wochen! Keine Lust mehr zu hungern und dich im Fitnessstudio alleine zu quälen? Unsere Alternative: draußen trainieren mit Personal Trainer und Ernährungsplan', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Heidelberg, Germany', 'addressCountry': 'Germany', 'postalCode': '69120', 'streetAddress': 'Ernst Walz Brücke'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '49.4107391', 'longitude': '8.6767055'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_1376x774_HD%20Ernst%20Walz%20Bru%CC%88cke%20Morgens_1641826606651672_admin.png?generation=1641826606748834&amp;alt=media'}",49.4107391,8.6767055,"Schlanker, fitter und stärker in 8 Wochen! Keine Lust mehr zu hungern und dich im Fitnessstudio alleine zu quälen? Unsere Alternative: draußen trainieren mit Personal Trainer und Ernährungsplan"
Hallenbad Köpfel,['Swimming'],False,"['S', 'M', 'L', 'XL']",S,Ziegelhausen,Stiftweg 32,https://urbansportsclub.com//en/venues/hallenbad-kopfel,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Hallenbad Köpfel', 'description': 'Raus aus dem Alltag – rein ins Vergnügen. In Heidelberg können Sie in fünf Schwimmbädern baden. Ob Sportbad mitten in der Stadt, Freibad mit großem Park und Breitwellenrutsche oder Hallenbad mit Sauna und Aquafitnesskursen – bei uns findet jeder sein persönliches Lieblingsbad. Übrigens: Alle unsere Bäder sind als nachhaltige Betriebe ausgezeichnet.', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Heidelberg, Germany', 'addressCountry': 'Germany', 'postalCode': '69118', 'streetAddress': 'Stiftweg 32'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '49.4239128', 'longitude': '8.7425775'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_5760x3240_228f38e54c2c-Koepfel_Bad_IMG_7688_rgb_1664547984987091_admin.jpg?generation=1664547985099274&amp;alt=media'}",49.4239128,8.7425775,"Raus aus dem Alltag – rein ins Vergnügen. In Heidelberg können Sie in fünf Schwimmbädern baden. Ob Sportbad mitten in der Stadt, Freibad mit großem Park und Breitwellenrutsche oder Hallenbad mit Sauna und Aquafitnesskursen – bei uns findet jeder sein persönliches Lieblingsbad. Übrigens: Alle unsere Bäder sind als nachhaltige Betriebe ausgezeichnet."
SRH Campussports,"['Fitness', 'Swimming']",False,"['S', 'M', 'L', 'XL']",S,Wieblingen,Bonhoefferstraße 4/1,https://urbansportsclub.com//en/venues/srh-campussports,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'SRH Campussports', 'description': 'SRH Campussports freut sich auf deinen Besuch!', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Heidelberg, Germany', 'addressCountry': 'Germany', 'postalCode': '69123', 'streetAddress': 'Bonhoefferstraße 4/1'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '49.41289', 'longitude': '8.6523'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_1686x948_fitnesscompressed_156699186581456_admin.jpg?alt=media'}",49.41289,8.6523,SRH Campussports freut sich auf deinen Besuch!
Reha & Sport Lounge,['Fitness'],False,"['M', 'L', 'XL']",M,Südstadt,Hauptstraße 22 A,https://urbansportsclub.com//en/venues/reha-sport-lounge,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Reha &amp; Sport Lounge', 'description': 'Reha &amp; Sport Lounge freut sich auf deinen Besuch!', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Heidelberg, Germany', 'addressCountry': 'Germany', 'postalCode': '67105', 'streetAddress': 'Hauptstraße 22 A'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '49.3836093', 'longitude': '8.3742604'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_1688x950_Gesundheit_1565699697386732_admin.jpg?alt=media'}",49.3836093,8.3742604,Reha &amp; Sport Lounge freut sich auf deinen Besuch!
Tiergartenbad,['Swimming'],False,"['S', 'M', 'L', 'XL']",S,Handschuhsheim,Tiergartenstr. 13,https://urbansportsclub.com//en/venues/tiergartenbad,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Tiergartenbad', 'description': 'Raus aus dem Alltag – rein ins Vergnügen. In Heidelberg können Sie in fünf Schwimmbädern baden. Ob Sportbad mitten in der Stadt, Freibad mit großem Park und Breitwellenrutsche oder Hallenbad mit Sauna und Aquafitnesskursen – bei uns findet jeder sein persönliches Lieblingsbad. Übrigens: Alle unsere Bäder sind als nachhaltige Betriebe ausgezeichnet.', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Heidelberg, Germany', 'addressCountry': 'Germany', 'postalCode': '69121', 'streetAddress': 'Tiergartenstr. 13'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '49.4199256', 'longitude': '8.657501'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_5760x3240_pgz7q09wdbjmkwg1pisl_168561177298839.jpg?generation=1685611772224221&amp;alt=media'}",49.4199256,8.657501,"Raus aus dem Alltag – rein ins Vergnügen. In Heidelberg können Sie in fünf Schwimmbädern baden. Ob Sportbad mitten in der Stadt, Freibad mit großem Park und Breitwellenrutsche oder Hallenbad mit Sauna und Aquafitnesskursen – bei uns findet jeder sein persönliches Lieblingsbad. Übrigens: Alle unsere Bäder sind als nachhaltige Betriebe ausgezeichnet."
Fit&Fun Physio und Fitness,['Fitness'],False,"['S', 'M', 'L', 'XL']",S,Waghäusel,Goethestraße 63,https://urbansportsclub.com//en/venues/fitfun-physio-und-fitness,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Fit&amp;Fun Physio und Fitness', 'description': 'Das Fit &amp; Fun Physio und Fitness freut sich auf Dich!', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Heidelberg, Germany', 'addressCountry': 'Germany', 'postalCode': '68753', 'streetAddress': 'Goethestraße 63'}, 'telephone': '+44 7254 745187', 'geo': {'@type': 'GeoCoordinates', 'latitude': '49.2472731', 'longitude': '8.531292'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_1360x765_iblhuiwzeufuqxbywgz4_171869855634270.png?generation=1718698556124764&amp;alt=media'}",49.2472731,8.531292,Das Fit &amp; Fun Physio und Fitness freut sich auf Dich!
