name,disciplines,plus_options,plans,min_plan,district,street,link,metadata,latitude,longitude,description
Studio Bondi,['Yoga'],False,"['Essential', 'Classic', 'Premium', 'Max']",Essential,Centrum,Valeriusstraat 40,https://urbansportsclub.com//en/venues/studio-bondi,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Studio Bondi', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Den Haag, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '2517 HR', 'streetAddress': 'Valeriusstraat 40'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '52.0850086', 'longitude': '4.2793039'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_1680x945_a9uoi4orhokqgjtenvps_1726481684327426.png?generation=1726481684425917&amp;alt=media'}",52.0850086,4.2793039,
Inner Embassy Yoga,"['Fitness', 'Pilates', 'Relaxation', 'Yoga']",False,"['Essential', 'Classic', 'Premium', 'Max']",Essential,Centrum,Scheveningseweg 14,https://urbansportsclub.com//en/venues/inner-embassy-yoga,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Inner Embassy Yoga', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Den Haag, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '2517 KT', 'streetAddress': 'Scheveningseweg 14'}, 'telephone': '+44 702233339', 'geo': {'@type': 'GeoCoordinates', 'latitude': '52.0870707', 'longitude': '4.2991196'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_1598x899_fk9bu9jrh6t49ee4dtyi_1726495320820765.png?generation=1726495320929339&amp;alt=media'}",52.0870707,4.2991196,
BTY CLB Den Haag,['Fitness'],False,"['Essential', 'Classic', 'Premium', 'Max']",Essential,Centrum,Dagelijkse Groenmarkt 19,https://urbansportsclub.com//en/venues/bty-clb-den-haag,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'BTY CLB Den Haag', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Den Haag, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '2513 AL', 'streetAddress': 'Dagelijkse Groenmarkt 19'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '52.0779808', 'longitude': '4.3095715'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_640x360_q0getwoilozyyy33nalp_1727166209833898.png?generation=1727166209916379&amp;alt=media'}",52.0779808,4.3095715,
Sky Health The Box,"['Crosstraining', 'EMS', 'Fitness', 'Functional Training', 'Yoga']",False,"['Essential', 'Classic', 'Premium', 'Max']",Essential,Centrum,Haagsche Bluf 37,https://urbansportsclub.com//en/venues/sky-health-the-box,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Sky Health The Box', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Den Haag, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '2511 CN', 'streetAddress': 'Haagsche Bluf 37'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '52.0770257', 'longitude': '4.3093216'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_1680x945_low9tkvy1vdoaxajmg79_1727966747323610.png?generation=1727966747429850&amp;alt=media'}",52.0770257,4.3093216,
De Wolf Gym,['Bootcamp'],False,"['Essential', 'Classic', 'Premium', 'Max']",Essential,Scheveningen,Strandweg 2,https://urbansportsclub.com//en/venues/de-wolf-gym,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'De Wolf Gym', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Den Haag, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '2508 EG', 'streetAddress': 'Strandweg 2'}, 'telephone': '+44 652239325', 'geo': {'@type': 'GeoCoordinates', 'latitude': '52.1028364', 'longitude': '4.2642173'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_5472x3078_uuxn5y7x5ddul40ozavs_1726481279724804.png?generation=1726481279981273&amp;alt=media'}",52.1028364,4.2642173,
Oh My Gym!,"['Bootcamp', 'Boxing Sports', 'Fitness', 'Pilates', 'Yoga']",False,"['Essential', 'Classic', 'Premium', 'Max']",Essential,Centrum,Karel Roosstraat 12,https://urbansportsclub.com//en/venues/oh-my-gym,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Oh My Gym!', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Den Haag, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '2571 BH', 'streetAddress': 'Karel Roosstraat 12'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '52.0729586', 'longitude': '4.2898545'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_640x360_dnb5nf7p4fucti38kxhd_1726667957126015.png?generation=1726667957221413&amp;alt=media'}",52.0729586,4.2898545,
Boulderhal de Campus,['Bouldering'],False,"['Essential', 'Classic', 'Premium', 'Max']",Essential,Loosduinen,Kerketuinenweg 55,https://urbansportsclub.com//en/venues/boulderhal-de-campus,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Boulderhal de Campus', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Den Haag, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '2544 CV', 'streetAddress': 'Kerketuinenweg 55'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '52.0496281', 'longitude': '4.2544586'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_1680x945_vgy6ifugigvarhlh50vf_1726492058574171.png?generation=1726492058723828&amp;alt=media'}",52.0496281,4.2544586,
CederGym,"['Boxing Sports', 'Cycling', 'Fitness', 'Functional Training', 'Indoor Cycling', 'Pilates', 'Yoga']",False,"['Essential', 'Classic', 'Premium', 'Max']",Essential,Segbroek,Cederstraat,https://urbansportsclub.com//en/venues/cedergym,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'CederGym', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Den Haag, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '2565', 'streetAddress': 'Cederstraat'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '52.0776078', 'longitude': '4.2699666'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_640x360_mvhqho0gv0kqwitgilie_1727785087264343.png?generation=1727785087364023&amp;alt=media'}",52.0776078,4.2699666,
HOUTRUST Squash,['Squash'],False,"['Essential', 'Classic', 'Premium', 'Max']",Essential,Segbroek,Laan van Poot 18,https://urbansportsclub.com//en/venues/houtrust-squash,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'HOUTRUST Squash', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Den Haag, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '2566 EC', 'streetAddress': 'Laan van Poot 18'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '52.0869517', 'longitude': '4.2679956'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_1680x945_kq04i5rklqbjjv6gagrj_1726495425413391.png?generation=1726495425547069&amp;alt=media'}",52.0869517,4.2679956,
The Yoga Alley,"['Dance', 'Fitness', 'Yoga']",False,"['Essential', 'Classic', 'Premium', 'Max']",Essential,Centrum,Javastraat 63,https://urbansportsclub.com//en/venues/the-yoga-alley,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'The Yoga Alley', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Den Haag, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '2585 AG', 'streetAddress': 'Javastraat 63'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '52.0891372', 'longitude': '4.3102634'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_1680x945_mlbuf3exgihjmjnht7zg_1726468087695741.png?generation=1726468087803146&amp;alt=media'}",52.0891372,4.3102634,
