name,disciplines,plus_options,plans,min_plan,district,street,link,metadata,latitude,longitude,description
Rocycle Utrecht,['Indoor Cycling'],False,"['Essential', 'Classic', 'Premium', 'Max']",Essential,Noordoost,Kaatstraat 59,https://urbansportsclub.com//en/venues/rocycle-utrecht-new,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Rocycle Utrecht', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Utrecht, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '3513 BW', 'streetAddress': 'Kaatstraat 59'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '52.0983', 'longitude': '5.1124419'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_640x360_fsumevgtsxahgpj63z8g_1727442134267747.png?generation=1727442134351196&amp;alt=media'}",52.0983,5.1124419,
BTY CLB Janskerkhof,['Fitness'],False,"['Essential', 'Classic', 'Premium', 'Max']",Essential,Binnenstad,Drift 9,https://urbansportsclub.com//en/venues/bty-clb-janskerkhof,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'BTY CLB Janskerkhof', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Utrecht, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '3512 BR', 'streetAddress': 'Drift 9'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '52.0932977', 'longitude': '5.1234992'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_768x431_cfi7yvwsfkix5hd0sr2v_1727101468723207.png?generation=1727101468803772&amp;alt=media'}",52.0932977,5.1234992,
Equal Yoga Kaatstraat,['Yoga'],False,"['Essential', 'Classic', 'Premium', 'Max']",Essential,Noordoost,Kaatstraat 173,https://urbansportsclub.com//en/venues/equal-yoga-kaatstraat-1,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Equal Yoga Kaatstraat', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Utrecht, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '3513 BW', 'streetAddress': 'Kaatstraat 173'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '52.0985314', 'longitude': '5.1133834'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_1179x663_vr8ked2kveiewip0emsv_1726749362668818.png?generation=1726749362755985&amp;alt=media'}",52.0985314,5.1133834,
De Workout Club,['Fitness'],False,"['Essential', 'Classic', 'Premium', 'Max']",Essential,Binnenstad,Breedstraat 128,https://urbansportsclub.com//en/venues/de-workout-club,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'De Workout Club', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Utrecht, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '3512 TX', 'streetAddress': 'Breedstraat 128'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '52.0954032', 'longitude': '5.1201168'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_640x360_kcdtlenkzp3fxfawjgvp_1727512679808088.png?generation=1727512679893437&amp;alt=media'}",52.0954032,5.1201168,
Gonna-B group training,"['Barre', 'Boxing Sports', 'Crosstraining', 'Fitness', 'Yoga']",False,"['Essential', 'Classic', 'Premium', 'Max']",Essential,West,Vleutenseweg 281,https://urbansportsclub.com//en/venues/fig-by-gonna-b,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Gonna-B group training', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Utrecht, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '3532 HH', 'streetAddress': 'Vleutenseweg 281'}, 'telephone': '+44 624478385', 'geo': {'@type': 'GeoCoordinates', 'latitude': '52.0935376', 'longitude': '5.0972747'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_2048x1152_k2yf6wimixigafpait6g_172647695019007.png?generation=1726476950157268&amp;alt=media'}",52.0935376,5.0972747,
Roform Utrecht Hoog Catharijne,['Pilates'],False,"['Essential', 'Classic', 'Premium', 'Max']",Essential,Binnenstad,Smakkelaarsveld 15,https://urbansportsclub.com//en/venues/roform-utrecht-hoog-catharijne,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Roform Utrecht Hoog Catharijne', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Utrecht, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '3511 ED', 'streetAddress': 'Smakkelaarsveld 15'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '52.0903486', 'longitude': '5.1112815'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_1280x720_rbfdrioszftmwiubhumk_1735025414183543.png?generation=1735025414256305&amp;alt=media'}",52.0903486,5.1112815,
IMPACT fit,"['Boxing Sports', 'Fitness', 'Free Fight', 'Mixed Martial Arts']",False,"['Essential', 'Classic', 'Premium', 'Max']",Essential,Leidsche Rijn,Overste Den Oudenlaan 9b,https://urbansportsclub.com//en/venues/impact-fit,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'IMPACT fit', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Utrecht, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '3527 KW', 'streetAddress': 'Overste Den Oudenlaan 9b'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '52.0827651', 'longitude': '5.0984682'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_1024x576_nvj1qpuljcizlv5wrbhe_1727357801589526.png?generation=1727357801675843&amp;alt=media'}",52.0827651,5.0984682,
Lead Out Gym,"['Bootcamp', 'Fitness', 'Hyrox', 'Indoor Cycling']",False,"['Essential', 'Classic', 'Premium', 'Max']",Essential,Oost,Herculesplein 373,https://urbansportsclub.com//en/venues/lead-out-gym,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Lead Out Gym', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Utrecht, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '3584 AA', 'streetAddress': 'Herculesplein 369'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '52.0787839', 'longitude': '5.1445544'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_2048x1152_mli6k3khuxbbjxadmfl3_1726746065351708.png?generation=1726746065456770&amp;alt=media'}",52.0787839,5.1445544,
TRAINWITHWENDEL,['Bootcamp'],False,"['Essential', 'Classic', 'Premium', 'Max']",Essential,Binnenstad,Wolvenplein 27,https://urbansportsclub.com//en/venues/trainwithwendel,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'TRAINWITHWENDEL', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Utrecht, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '3512 CK', 'streetAddress': 'Wolvenplein 27'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '52.0972857', 'longitude': '5.1258776'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_1011x568_azgh9jljw6kebhepxmlx_1726654846154215.png?generation=1726654846268857&amp;alt=media'}",52.0972857,5.1258776,
De Vechtsebanen,['Ice Skating'],False,"['Essential', 'Classic', 'Premium', 'Max']",Essential,Overvecht,Mississippidreef 151,https://urbansportsclub.com//en/venues/de-vechtsebanen,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'De Vechtsebanen', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Utrecht, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '3565 CE', 'streetAddress': 'Mississippidreef 151'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '52.123323', 'longitude': '5.086578'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_1680x945_ubbkg6oay4rmktgbely1_1726495005494519.png?generation=1726495005606472&amp;alt=media'}",52.123323,5.086578,
Outside Defense - Oudwijk Utrecht,['Modern Self Defense'],False,"['Essential', 'Classic', 'Premium', 'Max']",Essential,Oost,Homeruslaan 40,https://urbansportsclub.com//en/venues/outside-defense-oudwijk-utrecht,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Outside Defense - Oudwijk Utrecht', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Utrecht, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '3581 MJ', 'streetAddress': 'Homeruslaan 40'}, 'telephone': '+44 614997785', 'geo': {'@type': 'GeoCoordinates', 'latitude': '52.0864025', 'longitude': '5.136248169'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_640x360_aowlozfaykqkhjw3a9bb_172855164724421.png?generation=1728551647122517&amp;alt=media'}",52.0864025,5.136248169,
Calisthenics 030 Utrecht,['Functional Training'],False,"['Essential', 'Classic', 'Premium', 'Max']",Essential,Zuidwest,Musketierlaan 24,https://urbansportsclub.com//en/venues/calisthenics-030-utrecht,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Calisthenics 030 Utrecht', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Utrecht, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '3525 GX', 'streetAddress': 'Musketierlaan 24'}, 'telephone': '+44 616192686', 'geo': {'@type': 'GeoCoordinates', 'latitude': '52.0599841', 'longitude': '5.1186187'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_640x360_hmfrbggmqaqx1fsvs7ya_172657820542750.png?generation=1726578205136894&amp;alt=media'}",52.0599841,5.1186187,
Equal Yoga Oudegracht,['Yoga'],False,"['Essential', 'Classic', 'Premium', 'Max']",Essential,Binnenstad,Oudegracht 427,https://urbansportsclub.com//en/venues/equal-yoga-oudegracht-2,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Equal Yoga Oudegracht', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Utrecht, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '3511 PJ', 'streetAddress': 'Oudegracht 427'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '52.0817519', 'longitude': '5.1228419'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_640x360_xeujdo5jl5amhxgj6lhl_1726750098703311.png?generation=1726750098796489&amp;alt=media'}",52.0817519,5.1228419,
Aerial Studio,"['Aerial', 'Dance', 'Pole Dance']",False,"['Essential', 'Classic', 'Premium', 'Max']",Essential,Binnenstad,Mississippidreef 2,https://urbansportsclub.com//en/venues/aerial-studio,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Aerial Studio', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Utrecht, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '3565 CG', 'streetAddress': 'Mississippidreef 2'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '52.1264965', 'longitude': '5.0845532'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_768x431_mhhp8x5v4bfzx83oebxd_1726487887844450.png?generation=1726487887931315&amp;alt=media'}",52.1264965,5.0845532,
ZEN ZON ZEE,"['Sauna', 'Wellness']",False,"['Essential', 'Classic', 'Premium', 'Max']",Essential,Oost,Adriaen van Ostadelaan 43,https://urbansportsclub.com//en/venues/zen-zon-zee,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'ZEN ZON ZEE', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Utrecht, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '3583 AB', 'streetAddress': 'Adriaen van Ostadelaan 43'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '52.0832127', 'longitude': '5.1397252'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_640x360_leh7zest8hxk83fsgcw0_1727446741666545.png?generation=1727446741753180&amp;alt=media'}",52.0832127,5.1397252,
